date,tweet_body
2022-12-12 14:24:18+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:24:15+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:24:12+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
2022-12-12 14:24:08+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:24:04+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
2022-12-12 14:24:03+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
2022-12-12 14:23:53+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
2022-12-12 14:23:49+00:00,"b""RT @Jose_Pagliery: Florida lawmakers didn't pass a bill targeting transgender people.\n\nInstead, the increasingly authoritarian governor is\xe2\x80\xa6"""
2022-12-12 14:23:45+00:00,b'dId rOn dEsAnTiS kIlL hIs sIsTer \xc2\xbf\xc2\xbf\xc2\xbf https://t.co/PGCaCAt2ye'
2022-12-12 14:23:44+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:23:43+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:23:42+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:23:39+00:00,b'RT @Jason_Garcia: Such an important thread as Gov. Ron DeSantis and the Florida Legislature prepare to pass an overwhelmingly pro-industry\xe2\x80\xa6'
2022-12-12 14:23:35+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
