date,tweet_body
2022-12-12 01:45:31+00:00,b'RT @JamesBradleyCA: The violence and damage that was done in the name of George Floyd is far worse than anything that was allegedly done in\xe2\x80\xa6'
2022-12-12 01:45:31+00:00,"b'RT @emperoreaganite: I honestly don\xe2\x80\x99t know if Trump will win the GOP nomination again\xe2\x80\x94I\xe2\x80\x99d guess he has a 50%ish chance, give or take. \n\nBut\xe2\x80\xa6'"
2022-12-12 01:45:29+00:00,b'RT @johnpavlovitz: Dr Fauci has faithfully served under 7 presidents of both parties.\n\nHe is being harassed and maligned by Republicans sim\xe2\x80\xa6'
2022-12-12 01:45:29+00:00,b'RT @ericareport: BREAKING: Donald Trump overvalued his properties by as much as 3300% to get loans and avoid paying taxes. THIS IS A CRIME!'
2022-12-12 01:45:26+00:00,b'RT @JamesBradleyCA: The violence and damage that was done in the name of George Floyd is far worse than anything that was allegedly done in\xe2\x80\xa6'
2022-12-12 01:45:26+00:00,b'You Donald Trump brought this on yourself..You committed the crimes...You incited the insurrection..You kept firing\xe2\x80\xa6 https://t.co/YugA1H4Q70'
2022-12-12 01:45:25+00:00,"b""RT @wellyworldfl: Former President Donald Trump was banned from Twitter the day after former first lady Michelle Obama and other dem's dema\xe2\x80\xa6"""
2022-12-12 01:45:21+00:00,"b'RT @hateGOP: ""What we already know from David Carter, a federal judge out in California, that from his perspective, John Eastman, and Donal\xe2\x80\xa6'"
2022-12-12 01:45:20+00:00,b'The DOJ double standard: Hunter Biden and Donald Trump https://t.co/B4GX8qm3uy'
2022-12-12 01:45:16+00:00,"b'RT @Debtwiz: @Sucks2BePoor @Teri_Kanefield The likes of Peter Thiel, Elon Musk, Robert Mercer, Rupert &amp; Lachlan Murdoch, Donald Trump &amp; mos\xe2\x80\xa6'"
2022-12-12 01:45:15+00:00,b'RT @lordivan22: \xf0\x9f\x9a\xa8EUA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8: Donald Trump foi banido do Twitter um dia depois que a ex- primeira-dama Michelle Obama e outros exigiram que a em\xe2\x80\xa6'
2022-12-12 01:45:12+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:45:12+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:45:09+00:00,b'Two men who changed America with the creation of beautiful and significant products that every magazine and network\xe2\x80\xa6 https://t.co/gQXKZJBKim'
2022-12-12 01:45:08+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:45:05+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:45:02+00:00,b'RT @lordivan22: \xf0\x9f\x9a\xa8EUA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8: Donald Trump foi banido do Twitter um dia depois que a ex- primeira-dama Michelle Obama e outros exigiram que a em\xe2\x80\xa6'
2022-12-12 01:45:02+00:00,"b'RT @daviddunn177: The Republican Party attacks Dr. Fauci because they can\xe2\x80\x99t attack Donald Trump.\n\n\xe2\x80\x9c\xe2\x80\xa6when you have 15 people, and the 15 wit\xe2\x80\xa6'"
2022-12-12 01:45:01+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:45:01+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:45:00+00:00,b'RT @HarrenGWarding: @ethan_harsell @ShellenbergerMD Who\xe2\x80\x99s going to tell the right that Donald Trump was still president on January 8th and\xe2\x80\xa6'
2022-12-12 01:44:58+00:00,"b'RT @miguelangelfs95: I admit gettin\' more ""red-pilled"" with Donald Trump\'s election in 2016, but we need to see the reality as hard as it i\xe2\x80\xa6'"
2022-12-12 01:44:58+00:00,b'RT @JamesBradleyCA: The violence and damage that was done in the name of George Floyd is far worse than anything that was allegedly done in\xe2\x80\xa6'
2022-12-12 01:44:57+00:00,b'RT @JamesBradleyCA: The violence and damage that was done in the name of George Floyd is far worse than anything that was allegedly done in\xe2\x80\xa6'
2022-12-12 01:44:56+00:00,"b""RT @LockUpCheeto: Louis Tussaud's Waxworks in San Antonio, Texas has pulled their wax figure of Donald Trump because people keep punching i\xe2\x80\xa6"""
2022-12-12 01:44:55+00:00,b'@RepSwalwell @POTUS The DOJ will indict Donald Trump and his Republican Lawmaker co-conspirators (including Scott P\xe2\x80\xa6 https://t.co/5RqgeJCHaM'
2022-12-12 01:44:52+00:00,b'@RNCResearch Meet Election Denier and Republican Leader Donald Trump \xf0\x9f\x91\x87\xf0\x9f\x8f\xbc https://t.co/3wmdwQmAd9'
2022-12-12 01:44:51+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:44:50+00:00,"b'""Twitter Files"" part 4 continues to discuss process behind Twitter\'s Trump ban https://t.co/MunfhpEYSN'"
2022-12-12 01:44:50+00:00,"b""RT @ChuckCallesto: BREAKING REPORT: Twitter SUSPENDS Conservative Rap Star Bryson Gray - Best know for his CHART TOPPING singles \xe2\x80\x93 'Donald\xe2\x80\xa6"""
2022-12-12 01:44:50+00:00,b'RT @mtaibbi: 1.     THREAD: The Twitter Files\nTHE REMOVAL OF DONALD TRUMP\nPart One: October 2020-January 6th'
2022-12-12 01:44:49+00:00,b'RT @RepTroyNehls: Donald Trump knew the threat Yoel Roth posed to free speech over 2 years ago. \n\nHe was right all along. https://t.co/KyZr\xe2\x80\xa6'
2022-12-12 01:44:49+00:00,b'@Victorshi2020 About as much relevance as remembering Billery and Hilary Clinton with their pal Donald Trump at Tru\xe2\x80\xa6 https://t.co/7oDuXo8Ro0'
2022-12-12 01:44:48+00:00,b'RT @Ramnier: \xc2\xa1ACAB\xc3\x93 LA ESPERA! Elon Musk public\xc3\xb3 m\xc3\xa1s pruebas sobre los #TwitterFiles y revela el sistema de censura que la compa\xc3\xb1\xc3\xada aplic\xc3\xb3\xe2\x80\xa6'
2022-12-12 01:44:47+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:44:45+00:00,"b'RT @NickAdamsinUSA: Donald Trump is the greatest President we have ever had, and that includes Ronald Reagan. https://t.co/d5VYUOZgxc'"
2022-12-12 01:44:45+00:00,b'RT @tedlieu: Donald Trump'
2022-12-12 01:44:43+00:00,"b'RT @WajahatAli: Marjorie Taylor Greene: \xe2\x80\x9cI want to tell you something, if Steve Bannon and I had organized that (Jan 6 insurrection), we wo\xe2\x80\xa6'"
2022-12-12 01:44:43+00:00,"b'RT @itsJeffTiedrich: holy fucking shit, ""Donald Trump got banned from twitter after trying to overthrow his own government"" is not the expl\xe2\x80\xa6'"
2022-12-12 01:44:42+00:00,b'RT @mtaibbi: 1.     THREAD: The Twitter Files\nTHE REMOVAL OF DONALD TRUMP\nPart One: October 2020-January 6th'
2022-12-12 01:44:42+00:00,b'https://t.co/ah74VJkdBi'
2022-12-12 01:44:40+00:00,"b'RT @ericareport: If you voted for Donald Trump, you are a racist. You have no wiggle room.'"
2022-12-12 01:44:40+00:00,b'RT @JamesBradleyCA: The violence and damage that was done in the name of George Floyd is far worse than anything that was allegedly done in\xe2\x80\xa6'
2022-12-12 01:44:39+00:00,"b'RT @AliVelshi: A myth has developed around Donald Trump ""that he not only has 9 lives, he has 18,"" says @timobrien. ""But the reality is he\'\xe2\x80\xa6'"
2022-12-12 01:44:39+00:00,b'RT @MayoIsSpicyy: Donald Trump is a weak little man.'
2022-12-12 01:44:39+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:44:38+00:00,b'RT @JamesBradleyCA: The violence and damage that was done in the name of George Floyd is far worse than anything that was allegedly done in\xe2\x80\xa6'
2022-12-12 01:44:38+00:00,b'RT @NickAdamsinUSA: People forget that Donald Trump never took a salary while serving as our Commander in Chief.'
2022-12-12 01:44:38+00:00,"b'RT @ShellenbergerMD: 1. TWITTER FILES, PART 4\n\nThe Removal of Donald Trump: January 7\n\nAs the pressure builds, Twitter executives build the\xe2\x80\xa6'"
